mirna_id,DO27767,DO27777,DO27779,DO27783,DO27789,DO27807,DO27809,DO27811,DO27813,DO27815,DO27827,DO27833,DO27851,DO27853,DO27855,DO27857
hsa-mir-4326_gene,3.0529507665,5.6312001864,2.4104637385,0.0,10.4447863528,4.4215466987,11.0042513172,25.4765517321,4.619054236499999,12.550871691600001,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4326_mature5p,0.7488911184999999,1.9594795304,0.5501501105,0.0,2.2895486322,0.865214941,3.1051359312,11.2559405113,0.0,1.5448865834,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4326mature,3.25311830995856e-06,2.0644613209139597e-06,2.30527053567615e-06,4.601677828083191e-06,4.53829196553135e-06,3.563565231883931e-06,4.01631067641354e-06,5.95532527667626e-06,2.2588814352751898e-06,5.195881375681671e-06,9.87372441873904e-07,2.37490827976996e-06,6.7403890477665196e-06,2.26487963636904e-06,6.0323988075154e-07,3.27112137516307e-06
hsa-mir-432_gene,10.9819469394,1.037202508,7.895837204299999,0.0,6.9903721977999975,9.6513331166,8.650671949,7.5809012473,7.5562989817999995,11.362391645899999,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-432_mature3p,0.0,0.0,0.6533032562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-432_mature5p,46.2080949216,4.3845378748,32.6651628114,0.0,28.1221326945,40.4999248312,36.5687496025,32.0465370908,31.9425366049,48.0319283214,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-433_gene,5.1897792728,0.38628079670000004,2.7552354719,1.4279456411000002,1.7337524063,2.6802854152,1.8655362116,3.0526017651,1.6576070888999999,3.6372003693,0.0,0.0,0.0907869033,0.0,0.0,0.1362575535
hsa-mir-433_mature3p,21.381039552,1.6922777762,11.075045677,5.7923720893,6.444655409199999,10.9593892532,7.917424517100001,10.865808663900001,6.4768276987,14.5366470898,0.0,0.0,0.39773309999999995,0.0,0.0,0.5969378534
hsa-mir-433_mature5p,1.2798509591,0.0,0.8710710083,0.4633897671,1.1508313231,0.7828135181,0.2554007909,2.507494307,0.7850700240999999,1.3977545278999999,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-433_moR5p,0.0718632891,0.0,0.2375648204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-433mature,8.2780242708767e-06,2.25800456974965e-07,3.91461034360101e-06,2.34779481024653e-06,1.01657740027902e-06,3.1980713619471197e-06,1.0462658064606702e-06,9.216574832951349e-07,1.14681672867817e-06,2.1789179962536e-06,5.19669706249423e-08,3.39272611395709e-07,5.61699087313876e-07,3.01983951515873e-07,0.0,3.27112137516307e-06
hsa-mir-4419a_gene,0.0006500791000000001,0.0,0.0,0.0,0.0006424098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4420_gene,1.7474126097999998,0.2672017541,1.2034533667,0.0,7.4728323412,3.4175990170999997,1.5525679656,10.7778264075,1.0304044066,3.0897731669,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4420_mature3p,2.1832751655,0.7252619040999999,0.9955097237999999,0.0,13.2345602152,4.2271929977,0.5108015817,23.681890677600002,0.5888025181000001,3.3546108669,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4420mature,2.4398387324689202e-06,1.2902883255712301e-07,1.52234846695595e-06,4.0382070736240315e-06,4.247841279737339e-06,3.60925196562603e-06,7.42511217488218e-07,3.3085140425979198e-06,6.602884195419799e-07,1.67609076634892e-06,2.18261276624758e-06,1.35709044558284e-05,1.6850972619416299e-06,4.15227933334325e-07,3.61943928450924e-06,5.1111271486922985e-06
hsa-mir-4421_gene,0.17824913879999998,0.0,0.0192148017,0.0,0.053310568600000004,0.1208756168,0.0,0.9679665524,0.0,0.1151091964,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4421_mature3p,0.5019023369,0.0,0.0622193577,0.0,0.1726246985,0.391406759,0.0,3.1343678838,0.0,0.37273454079999996,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4421mature,1.74274195176352e-07,0.0,0.0,1.8782358481972199e-07,0.0,9.13734674842034e-08,0.0,2.5995467477555105e-07,0.0,4.19022691587231e-08,0.0,0.0,0.0,0.0,0.0,2.0444508594769198e-07
hsa-mir-4422_gene,4.145284849599999,1.0215579259,0.2868160637,0.0,0.4715601519,2.0448616533,0.5886676765,0.3567573201,4.423199404,1.0738845763,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4422_mature3p,0.15057070109999998,0.0,0.0,0.0,0.0,0.1565627036,0.0,0.0,0.7850700240999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4422_mature5p,16.7585190291,4.1883874961,1.1759458612,0.0,1.9333966227000001,8.219541939900001,2.4135374738,1.4627050124,17.310794031,4.4029267628,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4422mature,6.1867339287604796e-06,5.16115330228491e-07,3.9146103436010105e-07,1.8782358481972199e-07,2.90450685794006e-07,2.28433668710508e-06,3.037545889724531e-07,1.1816121580706901e-07,2.91916985481717e-06,6.285340373808471e-07,1.03933941249885e-06,5.08908917093564e-07,1.87233029104625e-07,1.24568380000297e-06,2.01079960250513e-07,2.0444508594769198e-07
hsa-mir-4423-3pmature,1.51037635819505e-06,6.45144162785614e-08,6.08939386782379e-07,9.391179240986107e-08,3.26757021518257e-07,6.89869679505735e-06,9.45014276803187e-07,1.4179345896848199e-07,7.99296507866607e-07,3.7712042242850796e-07,0.0,5.08908917093564e-07,9.36165145523127e-07,2.6423595757638886e-07,0.0,0.0
hsa-mir-4423-5pmature,4.3568548794087895e-07,0.0,2.1747835242227802e-07,2.8173537722958303e-07,3.63063357242508e-08,2.37571015458929e-06,1.6875254942913999e-07,0.0,6.95040441623136e-08,0.0,1.03933941249885e-07,1.69636305697855e-07,0.0,7.54959878789681e-08,0.0,0.0
hsa-mir-4423_gene,1.3508479036,0.128527426,0.6395204871,0.0,0.6118343743,8.4692495432,2.2404145326,0.44436607969999997,1.3043093755,0.6687990019,0.0,0.0,0.0,0.0,0.0,0.0
